product_id,product_name,category,product_type,brand,price,stock_quantity,rating,is_digital
PROD_000001,Canon Headphones,Electronics,Headphones,Canon,1165.64,740,1.8,True
PROD_000002,Samsung Bedding,Home & Garden,Bedding,Samsung,255.18,818,4.2,False
PROD_000003,Apple Sweater,Clothing,Sweater,Apple,147.51,926,2.3,False
PROD_000004,Nike Running Shoes,Sports,Running Shoes,Nike,216.72,175,4.1,False
PROD_000005,Samsung Yoga Mat,Sports,Yoga Mat,Samsung,284.82,295,1.2,False
PROD_000006,Generic Hair Dryer,Beauty,Hair Dryer,Generic,21.32,981,1.6,False
PROD_000007,Apple Cycling Helmet,Sports,Cycling Helmet,Apple,39.86,4,1.7,False
PROD_000008,Canon Kitchenware,Home & Garden,Kitchenware,Canon,38.94,220,4.5,False
PROD_000009,Sony Fiction Novel,Books,Fiction Novel,Sony,40.59,78,1.2,False
PROD_000010,Generic Biography,Books,Biography,Generic,46.24,66,3.3,False
PROD_000011,Sony Textbook,Books,Textbook,Sony,11.89,277,1.0,True
PROD_000012,Samsung Moisturizer,Beauty,Moisturizer,Samsung,139.35,275,3.6,False
PROD_000013,HP Smartwatch,Electronics,Smartwatch,HP,63.62,891,4.9,True
PROD_000014,Nike Moisturizer,Beauty,Moisturizer,Nike,128.34,14,2.7,False
PROD_000015,Nike Tablet,Electronics,Tablet,Nike,1645.49,500,4.2,False
PROD_000016,HP Dress,Clothing,Dress,HP,32.66,968,1.9,False
PROD_000017,Sony Smartphone,Electronics,Smartphone,Sony,348.82,376,1.6,False
PROD_000018,Dell T-Shirt,Clothing,T-Shirt,Dell,61.43,435,4.0,False
PROD_000019,Canon Dumbbells,Sports,Dumbbells,Canon,157.13,866,3.8,False
PROD_000020,Sony Tennis Racket,Sports,Tennis Racket,Sony,98.32,534,1.6,False
PROD_000021,Samsung Yoga Mat,Sports,Yoga Mat,Samsung,126.09,879,4.1,False
PROD_000022,Generic Skincare Set,Beauty,Skincare Set,Generic,117.34,293,4.7,False
PROD_000023,Apple Garden Tools,Home & Garden,Garden Tools,Apple,441.49,102,3.8,False
PROD_000024,Dell Headphones,Electronics,Headphones,Dell,557.35,867,1.8,False
PROD_000025,Canon Children Book,Books,Children Book,Canon,27.97,239,2.6,True
PROD_000026,Dell Headphones,Electronics,Headphones,Dell,589.41,301,3.7,False
PROD_000027,HP Smartphone,Electronics,Smartphone,HP,439.07,268,1.8,False
PROD_000028,Adidas Cycling Helmet,Sports,Cycling Helmet,Adidas,255.98,290,1.8,False
PROD_000029,HP Headphones,Electronics,Headphones,HP,1850.07,790,2.9,False
PROD_000030,Dell Vacuum Cleaner,Home & Garden,Vacuum Cleaner,Dell,475.89,164,1.8,False
PROD_000031,Sony Hair Dryer,Beauty,Hair Dryer,Sony,55.82,574,3.2,False
PROD_000032,Nike Cookbook,Books,Cookbook,Nike,30.38,933,1.7,True
